GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Waarp OpenR66/WaarpDigest,org.waarp.common.digest,FilesystemBasedDigest,1050,0,97,0,240,0,85,0,31,0
Waarp OpenR66/WaarpDigest,org.waarp.common.digest,MD5State,61,0,0,0,14,0,2,0,2,0
Waarp OpenR66/WaarpDigest,org.waarp.common.digest,FilesystemBasedDigest.DigestAlgo,176,0,16,0,29,0,13,0,5,0
Waarp OpenR66/WaarpDigest,org.waarp.common.digest,WaarpBC,141,0,14,0,49,0,13,0,6,0
Waarp OpenR66/WaarpDigest,org.waarp.common.digest,MD5,3507,0,62,0,329,0,59,0,28,0
Waarp OpenR66/WaarpDigest,org.waarp.common.digest,WaarpBC.new Provider() {...},19,0,0,0,3,0,1,0,1,0
Waarp OpenR66/WaarpCommon,org.waarp.common.database.model,DbModelH2.DbTypeResolverH2,10,0,0,0,4,0,4,0,4,0
Waarp OpenR66/WaarpCommon,org.waarp.common.database.model,EmptyDbModel,23,0,0,0,14,0,13,0,13,0
Waarp OpenR66/WaarpCommon,org.waarp.common.database.model,DbModelMariadb.DbTypeResolverMariadDb,10,0,0,0,4,0,4,0,4,0
Waarp OpenR66/WaarpCommon,org.waarp.common.database.model,DbModelMariadb,236,0,10,0,62,0,12,0,7,0
Waarp OpenR66/WaarpCommon,org.waarp.common.database.model,DbModelFactory,66,0,8,0,16,0,9,0,3,0
Waarp OpenR66/WaarpCommon,org.waarp.common.database.model,DbModelPostgresql.DbTypeResolverPostgreSQL,6,0,0,0,2,0,2,0,2,0
Waarp OpenR66/WaarpCommon,org.waarp.common.database.model,DbModelH2.DBType,259,0,17,0,32,0,19,0,3,0
Waarp OpenR66/WaarpCommon,org.waarp.common.database.model,DbModelCommonMariadbMySql.DBType,229,0,15,0,29,0,17,0,3,0
Waarp OpenR66/WaarpCommon,org.waarp.common.database.model,DbModelAbstract.DbTypeResolver,11,0,0,0,5,0,5,0,5,0
Waarp OpenR66/WaarpCommon,org.waarp.common.database.model,DbModelOracle.DBType,229,0,15,0,30,0,17,0,3,0
Waarp OpenR66/WaarpCommon,org.waarp.common.database.model,DbModelPostgresql,153,0,6,0,46,0,10,0,7,0
Waarp OpenR66/WaarpCommon,org.waarp.common.database.model,DbModelPostgresql.DBType,229,0,15,0,29,0,17,0,3,0
Waarp OpenR66/WaarpCommon,org.waarp.common.database.model,DbModelH2,273,0,12,0,74,0,17,0,11,0
Waarp OpenR66/WaarpCommon,org.waarp.common.database.model,DbType,96,0,10,0,13,0,7,0,2,0
Waarp OpenR66/WaarpCommon,org.waarp.common.database.model,DbModelMysql,258,0,8,0,65,0,12,0,8,0
Waarp OpenR66/WaarpCommon,org.waarp.common.database.model,DbModelOracle.DbTypeResolverOracle,6,0,0,0,2,0,2,0,2,0
Waarp OpenR66/WaarpCommon,org.waarp.common.database.model,DbModelAbstract,346,0,36,0,125,0,31,0,13,0
Waarp OpenR66/WaarpCommon,org.waarp.common.database.model,DbModelCommonMariadbMySql,158,0,4,0,45,0,8,0,6,0
Waarp OpenR66/WaarpCommon,org.waarp.common.database.model,DbModelOracle,367,0,12,0,100,0,18,0,12,0
